レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202602020203,2,6,4,1,2,4,×,×,○,×,まくり,逃げ,×
202602020204,6,2,4,1,4,5,×,×,×,×,まくり,,-
202602020205,4,1,3,3,4,2,×,×,×,×,逃げ,まくり,×
202602020206,2,4,1,4,6,3,×,×,×,×,逃げ,まくり,×
202602020207,1,2,4,3,2,4,×,○,○,×,逃げ,まくり,×
202602020208,6,4,2,3,2,5,×,×,×,×,まくり,差し,×
202602020209,4,1,5,1,2,4,×,×,×,×,逃げ,逃げ,○
202602020210,5,2,4,3,1,4,×,×,○,×,逃げ,差し,×
202602020211,3,6,5,1,5,4,×,×,×,×,逃げ,逃げ,○
202602020212,1,4,6,2,4,3,×,○,×,×,逃げ,差し,×
