レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601131804,1,2,4,3,1,5,×,×,×,×,逃げ,,-
202601131805,1,4,2,1,4,5,○,○,×,×,逃げ,逃げ,○
202601131806,1,6,4,1,2,4,○,×,○,×,逃げ,,-
202601131807,1,4,2,1,3,2,○,×,○,×,逃げ,逃げ,○
202601131808,1,2,3,5,6,3,×,×,○,×,逃げ,差し,×
202601131809,1,3,4,1,2,6,○,×,×,×,逃げ,逃げ,○
202601131810,1,3,4,3,2,4,×,×,○,×,逃げ,,-
202601131811,1,3,2,1,5,3,○,×,×,×,逃げ,逃げ,○
202601131812,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○
202601131501,1,3,4,4,1,5,×,×,×,×,逃げ,差し,×
202601131502,1,3,2,4,6,5,×,×,×,×,逃げ,,-
202601131503,1,2,4,5,6,2,×,×,×,×,逃げ,まくり,×
202601131504,1,2,4,1,4,5,○,×,×,×,逃げ,逃げ,○
202601131505,1,4,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202601131506,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601131401,1,3,2,1,4,5,○,×,×,×,逃げ,逃げ,○
202601131402,1,2,4,3,5,6,×,×,×,×,逃げ,まくり,×
202601131403,1,3,4,1,3,5,○,○,×,×,逃げ,逃げ,○
202601131404,1,3,2,1,2,4,○,×,×,×,逃げ,逃げ,○
202601131405,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601131406,1,2,3,2,1,4,×,×,×,×,逃げ,差し,×
202601131407,1,4,3,2,6,5,×,×,×,×,逃げ,差し,×
202601131408,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601131409,1,2,4,2,1,4,×,×,○,×,逃げ,,-
202601131410,1,3,2,3,6,1,×,×,×,×,逃げ,差し,×
202601131411,1,2,4,6,4,1,×,×,×,×,逃げ,差し,×
202601131412,1,3,2,3,2,4,×,×,×,×,逃げ,まくり,×
202601131201,1,3,6,1,3,2,○,○,×,×,逃げ,逃げ,○
202601131202,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601131203,1,3,4,1,2,5,○,×,×,×,逃げ,逃げ,○
202601131204,2,1,4,6,2,3,×,×,×,×,差し,,-
202601131205,1,3,6,1,3,4,○,○,×,×,逃げ,逃げ,○
202601131206,3,1,2,1,3,2,×,×,○,×,差し,逃げ,×
202601131207,3,6,4,1,3,6,×,×,×,×,逃げ,逃げ,○
202601131208,1,4,2,1,6,5,○,×,×,×,逃げ,逃げ,○
202601131209,1,2,3,1,5,2,○,×,×,×,逃げ,逃げ,○
202601131210,1,4,2,5,4,3,×,○,×,×,逃げ,差し,×
202601131211,1,3,2,5,1,3,×,×,×,×,逃げ,差し,×
202601131212,1,2,4,5,4,6,×,×,×,×,逃げ,差し,×
202601130901,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202601130902,3,2,4,2,4,6,×,×,×,×,逃げ,まくり,×
202601130903,1,4,3,1,4,5,○,○,×,×,差し,逃げ,×
202601130904,1,3,4,1,5,3,○,×,×,×,逃げ,逃げ,○
202601130906,1,2,3,1,3,5,○,×,×,×,逃げ,逃げ,○
202601130907,1,2,4,1,4,5,○,×,×,×,逃げ,逃げ,○
202601130908,1,2,3,1,4,3,○,×,○,×,逃げ,逃げ,○
202601130909,1,4,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601130910,1,2,3,2,1,3,×,×,○,×,逃げ,差し,×
202601130911,1,2,4,1,4,2,○,×,×,×,逃げ,逃げ,○
202601130912,1,3,2,4,2,5,×,×,×,×,逃げ,まくり,×
202601130501,3,4,6,1,3,6,×,×,○,×,まくり,逃げ,×
202601130502,2,1,4,5,3,2,×,×,×,×,逃げ,,-
202601130503,2,5,3,2,5,3,○,○,○,○,まくり,まくり,○
202601130504,2,4,3,3,2,1,×,×,×,×,差し,まくり,×
202601130505,1,4,3,6,3,1,×,×,×,×,逃げ,まくり,×
202601130506,1,6,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202601130507,1,2,3,1,2,4,○,○,×,×,逃げ,逃げ,○
202601130508,1,2,3,1,2,3,○,○,○,○,逃げ,逃げ,○
202601130509,1,2,4,4,1,6,×,×,×,×,逃げ,まくり,×
202601130510,1,2,4,3,4,1,×,×,×,×,逃げ,差し,×
202601130511,1,2,3,1,3,6,○,×,×,×,逃げ,,-
202601130512,1,2,4,1,5,2,○,×,×,×,逃げ,逃げ,○
202601130201,1,5,3,6,1,5,×,×,×,×,まくり,差し,×
202601130202,1,2,5,5,1,2,×,×,×,×,まくり,まくり,○
202601130203,1,3,6,1,6,5,○,×,×,×,まくり,逃げ,×
202601130204,1,2,6,2,3,4,×,×,×,×,まくり,まくり,○
202601130205,1,4,3,1,4,2,○,○,×,×,逃げ,逃げ,○
202601130206,2,4,3,5,4,6,×,○,×,×,まくり,差し,×
202601130207,1,2,6,5,1,2,×,×,×,×,逃げ,まくり,×
202601130208,2,1,5,2,1,5,○,○,○,○,まくり,差し,×
202601130209,3,1,5,3,5,1,○,×,×,×,逃げ,まくり,×
202601130210,4,1,5,4,1,5,○,○,○,○,まくり,,-
202601130211,1,5,3,1,2,3,○,×,○,×,逃げ,,-
202601130212,1,4,3,5,3,1,×,×,×,×,逃げ,差し,×
202601130101,2,4,5,2,1,5,○,×,○,×,差し,差し,○
202601130102,1,2,4,1,4,2,○,×,×,×,差し,逃げ,×
202601130103,1,4,2,1,4,3,○,○,×,×,逃げ,逃げ,○
202601130104,2,1,3,5,6,2,×,×,×,×,逃げ,まくり,×
202601130105,3,1,4,3,1,5,○,○,×,×,逃げ,差し,×
202601130106,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○
202601130107,1,3,2,1,6,3,○,×,×,×,逃げ,逃げ,○
202601130108,1,5,2,4,5,1,×,○,×,×,逃げ,差し,×
202601130109,1,2,6,3,2,6,×,○,○,×,差し,差し,○
202601130110,2,3,6,3,2,6,×,×,○,×,まくり,まくり,○
202601130111,1,4,2,1,4,5,○,○,×,×,逃げ,逃げ,○
202601130112,1,5,2,2,4,5,×,×,×,×,逃げ,まくり,×
