レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中
202601250710,1,4,5,1,4,6,○,○,×,×,逃げ,逃げ,○
202601250711,1,3,2,1,3,6,○,○,×,×,逃げ,逃げ,○
202601250712,1,3,5,1,3,4,○,○,×,×,逃げ,逃げ,○
202601250601,1,3,2,2,1,5,×,×,×,×,逃げ,差し,×
202601250602,1,4,3,2,6,3,×,×,○,×,差し,,-
202601250603,1,6,3,2,3,6,×,×,×,×,逃げ,まくり,×
202601250604,3,1,4,1,2,4,×,×,○,×,差し,逃げ,×
202601250605,1,3,6,2,1,4,×,×,×,×,逃げ,差し,×
202601250606,1,2,3,5,3,1,×,×,×,×,逃げ,差し,×
202601250607,3,5,6,6,5,2,×,○,×,×,差し,まくり,×
202601250608,1,3,6,1,4,6,○,×,○,×,逃げ,逃げ,○
202601250609,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○
202601250610,1,3,4,4,3,5,×,○,×,×,逃げ,差し,×
202601250611,1,3,2,3,5,1,×,×,×,×,逃げ,まくり,×
202601250612,1,2,3,2,1,3,×,×,○,×,逃げ,差し,×
202601250401,1,3,2,5,4,3,×,×,×,×,差し,差し,○
202601250402,2,4,1,5,3,4,×,×,×,×,差し,差し,○
202601250403,3,5,1,3,1,2,○,×,×,×,差し,差し,○
202601250404,4,3,2,1,4,3,×,×,×,×,差し,逃げ,×
202601250405,1,3,4,1,4,3,○,×,×,×,逃げ,逃げ,○
202601250406,1,6,4,1,5,4,○,×,○,×,逃げ,逃げ,○
202601250407,3,5,1,5,6,2,×,×,×,×,差し,まくり,×
202601250408,1,4,2,1,2,5,○,×,×,×,逃げ,,-
202601250409,2,1,4,2,6,1,○,×,×,×,逃げ,まくり,×
202601250410,1,5,2,1,2,5,○,×,×,×,逃げ,逃げ,○
202601250411,1,4,3,1,2,4,○,×,×,×,逃げ,逃げ,○
202601250412,1,2,6,1,4,2,○,×,×,×,逃げ,逃げ,○
202601250301,1,3,4,4,1,2,×,×,×,×,差し,差し,○
202601250302,3,1,5,3,1,6,○,○,×,×,逃げ,まくり,×
202601250303,2,3,6,4,5,2,×,×,×,×,まくり,差し,×
202601250304,1,4,3,4,1,6,×,×,×,×,逃げ,差し,×
202601250305,1,3,2,3,1,2,×,×,○,×,逃げ,,-
202601250306,2,5,3,4,5,6,×,○,×,×,まくり,まくり,○
202601250307,1,2,4,1,3,4,○,×,○,×,まくり,逃げ,×
202601250308,1,3,2,1,2,6,○,×,×,×,まくり,逃げ,×
202601250309,1,2,3,1,4,6,○,×,×,×,逃げ,逃げ,○
202601250310,1,3,6,2,3,6,×,○,○,×,逃げ,差し,×
202601250311,1,3,2,4,1,6,×,×,×,×,逃げ,まくり,×
202601250312,1,3,4,4,6,1,×,×,×,×,逃げ,まくり,×
202601250101,1,3,4,3,2,1,×,×,×,×,逃げ,まくり,×
202601250102,6,2,5,6,1,3,○,×,×,×,差し,差し,○
202601250103,6,4,1,1,2,4,×,×,×,×,差し,逃げ,×
202601250104,1,4,2,1,2,4,○,×,×,×,差し,逃げ,×
202601250105,1,3,4,1,4,5,○,×,×,×,逃げ,,-
202601250106,1,4,2,3,2,4,×,×,×,×,逃げ,まくり,×
202601250107,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○
202601250108,1,5,4,1,4,2,○,×,×,×,逃げ,逃げ,○
202601250109,1,3,4,1,3,5,○,○,×,×,差し,逃げ,×
202601250110,1,3,2,1,2,3,○,×,×,×,逃げ,逃げ,○
202601250111,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○
202601250112,1,3,4,3,1,2,×,×,×,×,逃げ,差し,×
